station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,wind_speed_ms,tmpc,sky_oktas
UNV,2024-04-15 00:15:00,-77.85,40.85,378.0,56.5,56.5,100.0,210.0,6.0,0.01,29.76,,10.0,,BKN,BKN,OVC,,6000.0,7000.0,12000.0,,-VCTSRA,,,,,,,56.5,KUNV 150415Z AUTO 21006KT 10SM -VCTSRA BKN060 BKN070 OVC120 14/14 A2976 RMK AO2 LTG DSNT E AND W P0001 T01360136,,3.086664,13.61111111111111,8
UNV,2024-04-15 00:35:00,-77.85,40.85,378.0,56.3,56.3,100.0,210.0,7.0,0.01,29.75,,10.0,,SCT,SCT,BKN,,6000.0,7000.0,12000.0,,,,,,,,,56.3,KUNV 150435Z AUTO 21007KT 10SM SCT060 SCT070 BKN120 14/14 A2975 RMK AO2 LTG DSNT SW AND W P0001 T01350135,,3.601108,13.499999999999998,6
UNV,2024-04-15 00:55:00,-77.85,40.85,378.0,56.0,56.0,100.0,280.0,4.0,0.01,29.76,,10.0,,SCT,SCT,,,9000.0,12000.0,,,,,,,,,,56.0,KUNV 150455Z AUTO 28004KT 10SM SCT090 SCT120 13/13 A2976 RMK AO2 LTG DSNT E AND SW P0001 T01330133,,2.057776,13.333333333333334,4
UNV,2024-04-15 01:15:00,-77.85,40.85,378.0,55.4,55.4,100.0,290.0,3.0,0.0,29.76,,10.0,,SCT,SCT,,,9000.0,11000.0,,,,,,,,,,55.4,KUNV 150515Z AUTO 29003KT 10SM SCT090 SCT110 13/13 A2976 RMK AO2 LTG DSNT S AND SW T01300130,,1.543332,13.0,4
UNV,2024-04-15 01:35:00,-77.85,40.85,378.0,56.0,55.8,99.28,260.0,6.0,0.0,29.76,,10.0,,BKN,BKN,,,8000.0,11000.0,,,,,,,,,,56.0,KUNV 150535Z AUTO 26006KT 10SM BKN080 BKN110 13/13 A2976 RMK AO2 LTG DSNT S THRU W T01330132,,3.086664,13.333333333333334,6
UNV,2024-04-15 01:55:00,-77.85,40.85,378.0,56.0,56.0,100.0,230.0,4.0,0.0,29.76,,10.0,,SCT,OVC,,,8000.0,11000.0,,,,,,,,,,56.0,KUNV 150555Z AUTO 23004KT 10SM SCT080 OVC110 13/13 A2976 RMK AO2 LTG DSNT W 60025 T01340134 10155 20130,,2.057776,13.333333333333334,8
UNV,2024-04-15 02:15:00,-77.85,40.85,378.0,55.2,55.2,100.0,220.0,5.0,0.0,29.76,,10.0,,SCT,OVC,,,9000.0,11000.0,,,,,,,,,,55.2,KUNV 150615Z AUTO 22005KT 10SM SCT090 OVC110 13/13 A2976 RMK AO2 LTG DSNT S AND W T01290129,,2.57222,12.888888888888891,8
UNV,2024-04-15 02:35:00,-77.85,40.85,378.0,55.0,55.0,100.0,0.0,0.0,0.0,29.76,,4.0,,SCT,BKN,,,9000.0,11000.0,,,BR,,,,,,,55.0,KUNV 150635Z AUTO 00000KT 4SM BR SCT090 BKN110 13/13 A2976 RMK AO2 LTG DSNT S AND SW T01270127,,0.0,12.777777777777779,6
UNV,2024-04-15 02:55:00,-77.85,40.85,378.0,54.0,54.0,100.0,190.0,5.0,0.0,29.77,,10.0,,SCT,BKN,,,9500.0,11000.0,,,,,,,,,,54.0,KUNV 150655Z AUTO 19005KT 10SM SCT095 BKN110 12/12 A2977 RMK AO2 LTG DSNT SW T01230123,,2.57222,12.222222222222221,6
UNV,2024-04-15 03:15:00,-77.85,40.85,378.0,55.6,55.4,99.28,210.0,3.0,0.0,29.77,,10.0,,SCT,OVC,,,8000.0,9500.0,,,,,,,,,,55.6,KUNV 150715Z AUTO 21003KT 10SM SCT080 OVC095 13/13 A2977 RMK AO2 LTG DSNT S AND SW T01310130,,1.543332,13.11111111111111,8
