Site_Code,Orchard_Area_m2,Time_Point,Calendar_Date,Site_Letters_in_Supplement,Ag_250m,Forest_250m,Open_250m,Other_250m,WetShrub_250m,Urban_250m,Apples_250m,Ag_500m,Forest_500m,Open_500m,Other_500m,WetShrub_500m,Urban_500m,Apples_500m,Ag_750m,Forest_750m,Open750m,Other_750m,ShrubWet_750m,Urban_750m,Apples_750m,Ag_1000m,Forest_1000m,Open_1000m,Other_1000m,ShrubWet_1000m,Urban_1000m,Apples_1000m,Ag_1250m,Forest_1250m,Open_1250m,Other_1250m,ShrubWet_1250m,Urban_1250m,Apples_1250m,Ag_1500m,Forest_1500m,Open_1500m,Other_1500m,ShrubWet_1500m,Urban_1500m,Apples_1500m,Ag_1750,Forest_1750m,Open_1750m,Other_1750m,ShrubWet_1750m,Urban_1750m,Apples_1750m,Ag_2000m,Forest_2000m,Open_2000m,Other_2000m,ShrubWet_2000m,Urban_2000m,Apples_2000m,Total_Emerged_Males,Total_Emerged_Females,Proportion_Female_Offspring,Ave_F_Weight_g,Ave_M_Weight_g,Proportion_Larval_Mortality,Temp_C,Nest_Tubes for_Offspring_Analysis,Nest_Tubes_for_Pollen_Analysis,Total_Pollen_Provisions_Analyzed,Fungicide_Risk_Ave%HQ,Insecticide_Risk_Ave%HQ,Herb_Risk_Ave%HQ,Prop_Vitaceae,Prop_Caprifoliaceae,Prop_Rhamnaceae,Prop_Cornaceae,Prop_Brassicaceae,Prop_Oleaceae,Prop_Adoxaceae,Prop_Onagraceae,Prop_Fabaceae,Prop_Juglandaceae,Prop_Rosaceae,Floral_Fam_Richness,Floral_Shannon_Diversity,Floral_Evenness
AB,8108.31,1,5/20/15,a,0.063348416,0.135746606,0.411764706,0.004524887,0.027149321,0.357466063,0,0.071917808,0.117579909,0.264840183,0.011415525,0.04109589,0.493150685,0,0.057623661,0.12799592,0.206017338,0.055073942,0.046914839,0.506374299,0,0.066513761,0.137041284,0.18233945,0.07396789,0.045011468,0.495126147,0,0.102601686,0.137779406,0.185232686,0.065775009,0.056614144,0.451997069,0.013741297,0.159556857,0.120081498,0.162485674,0.060613778,0.04902585,0.448236343,0.029924869,0.18893362,0.107667821,0.150266829,0.058795993,0.045594982,0.448740755,0.028087258,0.205730659,0.105515759,0.146919771,0.05730659,0.040329513,0.444197708,0.023997135,5,10,0.666666667,0.057284286,0.02993,0.105263158,18.22569444,4,2,18,9.52387E-05,0.042831373,0,0.663120567,0.046099291,0.25177305,0,0,0,0,0,0,0.039007092,0,4,0.888046176,0.640589907
AB,8108.31,2,5/28/15,a,0.063348416,0.135746606,0.411764706,0.004524887,0.027149321,0.357466063,0,0.071917808,0.117579909,0.264840183,0.011415525,0.04109589,0.493150685,0,0.057623661,0.12799592,0.206017338,0.055073942,0.046914839,0.506374299,0,0.066513761,0.137041284,0.18233945,0.07396789,0.045011468,0.495126147,0,0.102601686,0.137779406,0.185232686,0.065775009,0.056614144,0.451997069,0.013741297,0.159556857,0.120081498,0.162485674,0.060613778,0.04902585,0.448236343,0.029924869,0.18893362,0.107667821,0.150266829,0.058795993,0.045594982,0.448740755,0.028087258,0.205730659,0.105515759,0.146919771,0.05730659,0.040329513,0.444197708,0.023997135,67,36,0.349514563,0.058829,0.031763,0.065420561,23.34183673,12,2,21,0.000270293,3.32294899,0,0.665480427,0.078291815,0.046263345,0,0,0.138790036,0,0,0,0.071174377,0,5,1.074802582,0.667812392
AB,8108.31,3,6/3/15,a,0.063348416,0.135746606,0.411764706,0.004524887,0.027149321,.?,0,0.071917808,0.117579909,0.264840183,0.011415525,0.04109589,0.493150685,0,0.057623661,0.12799592,0.206017338,0.055073942,0.046914839,0.506374299,0,0.066513761,0.137041284,0.18233945,0.07396789,0.045011468,0.495126147,0,0.102601686,0.137779406,0.185232686,0.065775009,0.056614144,0.451997069,0.013741297,0.159556857,0.120081498,0.162485674,0.060613778,0.04902585,0.448236343,0.029924869,0.18893362,0.107667821,0.150266829,0.058795993,0.045594982,0.448740755,0.028087258,0.205730659,0.105515759,0.146919771,0.05730659,0.040329513,0.444197708,0.023997135,19,7,0.269230769,0.0534025,0.037182,0,15.97535211,3,2,20,0.000240183,12.83049409,0.006181818,0.735483871,0.083870968,0.048387097,0,0,0.083870968,0,0,0,0.048387097,0,5,0.934787364,0.580816046
BA,14269.631,1,5/25/15,b,0.598173516,0.050228311,0.118721461,0.04109589,0.054794521,0.136986301,0,0.572247706,0.130733945,0.073394495,0.032110092,0.088302752,0.103211009,0,0.472024415,0.202441506,0.092065107,0.037639878,0.097660224,0.098168871,0,0.489971347,0.203151862,0.108882521,0.028939828,0.091690544,0.077363897,0,0.519237816,0.186698424,0.109930377,0.025650421,0.090509344,0.067973617,0,0.542860782,0.195898612,0.09043434,0.024328111,0.088651127,0.057827028,0,0.562394761,0.21272217,0.072684752,0.019925164,0.082694107,0.049579046,0,0.554393755,0.237628017,0.070686815,0.017474755,0.076344625,0.043472033,0,26,19,0.422222222,0.054908462,0.035723,0.238095238,13.63829787,7,2,19,0.001898199,12.09272442,0.014063636,0,0.715277778,0,0.284722222,0,0,0,0,0,0,0,2,0.597358157,0.861805651
BA,14269.631,2,5/29/15,b,0.598173516,0.050228311,0.118721461,0.04109589,0.054794521,0.136986301,0,0.572247706,0.130733945,0.073394495,0.032110092,0.088302752,0.103211009,0,0.472024415,0.202441506,0.092065107,0.037639878,0.097660224,0.098168871,0,0.489971347,0.203151862,0.108882521,0.028939828,0.091690544,0.077363897,0,0.519237816,0.186698424,0.109930377,0.025650421,0.090509344,0.067973617,0,0.542860782,0.195898612,0.09043434,0.024328111,0.088651127,0.057827028,0,0.562394761,0.21272217,0.072684752,0.019925164,0.082694107,0.049579046,0,0.554393755,0.237628017,0.070686815,0.017474755,0.076344625,0.043472033,0,66,40,0.377358491,0.065413,0.037101,0.193333333,23.23958333,19,3,23,0.004496567,23.0963082,0.026890909,0.212345679,0.696296296,0,0,0,0,0,0,0,0,0.091358025,3,0.799700341,0.72791862
BA,14269.631,3,6/4/15,b,0.598173516,0.050228311,0.118721461,0.04109589,0.054794521,0.136986301,0,0.572247706,0.130733945,0.073394495,0.032110092,0.088302752,0.103211009,0,0.472024415,0.202441506,0.092065107,0.037639878,0.097660224,0.098168871,0,0.489971347,0.203151862,0.108882521,0.028939828,0.091690544,0.077363897,0,0.519237816,0.186698424,0.109930377,0.025650421,0.090509344,0.067973617,0,0.542860782,0.195898612,0.09043434,0.024328111,0.088651127,0.057827028,0,0.562394761,0.21272217,0.072684752,0.019925164,0.082694107,0.049579046,0,0.554393755,0.237628017,0.070686815,0.017474755,0.076344625,0.043472033,0,16,17,0.515151515,0.053668,0.031056667,0.183673469,16.89310345,7,2,13,0.00150856,7.742865537,0.008963636,0.724489796,0.221088435,0.054421769,0,0,0,0,0,0,0,0,3,0.725580368,0.660451713
BD,26093.088,1,5/23/15,c,0.470319635,0.178082192,0.292237443,0.00456621,0.054794521,0,0.00456621,0.515535098,0.153049482,0.255466053,0.01726122,0.043728423,0.014959724,0.001150748,0.531979695,0.125888325,0.21928934,0.012182741,0.056852792,0.053807107,0.000507614,0.497709049,0.12628866,0.211626575,0.022623139,0.052405498,0.089347079,0.000286369,0.478468023,0.136338648,0.180502107,0.024738868,0.055158512,0.124793843,0.000183251,0.417176351,0.17341998,0.159148828,0.023445464,0.057849134,0.168960245,0.000127421,0.386033886,0.197229243,0.149957877,0.025741833,0.062154825,0.178882336,9.36E-05,0.341119152,0.251916601,0.136060758,0.024790428,0.068639392,0.177473669,0.000143297,28,50,0.641025641,0.055874,0.034236,0.066666667,13.42436975,10,2,19,0.031537792,29.04061893,0,0,0.621722846,0,0,0,0,0,0,0,0,0.378277154,2,0.663214407,0.956816136
BD,26093.088,2,5/30/15,c,0.470319635,0.178082192,0.292237443,0.00456621,0.054794521,0,0.00456621,0.515535098,0.153049482,0.255466053,0.01726122,0.043728423,0.014959724,0.001150748,0.531979695,0.125888325,0.21928934,0.012182741,0.056852792,0.053807107,0.000507614,0.497709049,0.12628866,0.211626575,0.022623139,0.052405498,0.089347079,0.000286369,0.478468023,0.136338648,0.180502107,0.024738868,0.055158512,0.124793843,0.000183251,0.417176351,0.17341998,0.159148828,0.023445464,0.057849134,0.168960245,0.000127421,0.386033886,0.197229243,0.149957877,0.025741833,0.062154825,0.178882336,9.36E-05,0.341119152,0.251916601,0.136060758,0.024790428,0.068639392,0.177473669,0.000143297,14,11,0.44,0.0598375,0.030801429,0,21.7712766,3,2,23,0.037461667,46.69810098,0.047136364,0.048109966,0.917525773,0,0,0,0,0,0,0,0,0.034364261,3,0.340787029,0.310197722
BD,26093.088,3,6/5/15,c,0.470319635,0.178082192,0.292237443,0.00456621,0.054794521,0,0.00456621,0.515535098,0.153049482,0.255466053,0.01726122,0.043728423,0.014959724,0.001150748,0.531979695,0.125888325,0.21928934,0.012182741,0.056852792,0.053807107,0.000507614,0.497709049,0.12628866,0.211626575,0.022623139,0.052405498,0.089347079,0.000286369,0.478468023,0.136338648,0.180502107,0.024738868,0.055158512,0.124793843,0.000183251,0.417176351,0.17341998,0.159148828,0.023445464,0.057849134,0.168960245,0.000127421,0.386033886,0.197229243,0.149957877,0.025741833,0.062154825,0.178882336,9.36E-05,0.341119152,0.251916601,0.136060758,0.024790428,0.068639392,0.177473669,0.000143297,17,16,0.484848485,0.056671111,0.032054444,0.03030303,14.59931507,4,2,18,0.036454645,20.64249501,0.021636364,0.838487973,0.127147766,0.034364261,0,0,0,0,0,0,0,0,3,0.525767045,0.478573788
EV,68772.525,1,5/27/15,d,0.027149321,0.78280543,0.049773756,0.004524887,0.063348416,0.07239819,0,0.065366972,0.722477064,0.110091743,0.002293578,0.052752294,0.047018349,0,0.135368957,0.658524173,0.126717557,0.001017812,0.040712468,0.037659033,0,0.136754587,0.634174312,0.137901376,0.002866972,0.036123853,0.052178899,0,0.120601173,0.647727273,0.116752199,0.002749267,0.032441349,0.079728739,0,0.106824548,0.655207538,0.110262287,0.00280112,0.026610644,0.098293863,0,0.09375,0.671968563,0.108626497,0.003274701,0.022548653,0.099831587,0,0.089762877,0.699118848,0.09621033,0.00351028,0.020058743,0.091338921,0,78,76,0.493506494,0.059644,0.039155,0.079268293,20.625,18,2,22,7.29898E-05,0.057108498,0,0,0.390070922,0,0,0,0,0.106382979,0,0,0,0.503546099,3,0.951069469,0.865700738
EV,68772.525,2,6/2/15,d,0.027149321,0.78280543,0.049773756,0.004524887,0.063348416,0.07239819,0,0.065366972,0.722477064,0.110091743,0.002293578,0.052752294,0.047018349,0,0.135368957,0.658524173,0.126717557,0.001017812,0.040712468,0.037659033,0,0.136754587,0.634174312,0.137901376,0.002866972,0.036123853,0.052178899,0,0.120601173,0.647727273,0.116752199,0.002749267,0.032441349,0.079728739,0,0.106824548,0.655207538,0.110262287,0.00280112,0.026610644,0.098293863,0,0.09375,0.671968563,0.108626497,0.003274701,0.022548653,0.099831587,0,0.089762877,0.699118848,0.09621033,0.00351028,0.020058743,0.091338921,0,29,28,0.49122807,0.058441,0.034532,0.064516129,17.08098592,12,3,29,5.21356E-05,0,0,0,0.21686747,0,0,0,0,0.060240964,0,0,0,0.722891566,3,0.735291753,0.669291397
EV,68772.525,3,6/6/15,d,0.027149321,0.78280543,0.049773756,0.004524887,0.063348416,0.07239819,0,0.065366972,0.722477064,0.110091743,0.002293578,0.052752294,0.047018349,0,0.135368957,0.658524173,0.126717557,0.001017812,0.040712468,0.037659033,0,0.136754587,0.634174312,0.137901376,0.002866972,0.036123853,0.052178899,0,0.120601173,0.647727273,0.116752199,0.002749267,0.032441349,0.079728739,0,0.106824548,0.655207538,0.110262287,0.00280112,0.026610644,0.098293863,0,0.09375,0.671968563,0.108626497,0.003274701,0.022548653,0.099831587,0,0.089762877,0.699118848,0.09621033,0.00351028,0.020058743,0.091338921,0,6,11,0.647058824,0.063136143,0.03025,0.157894737,15.90384615,3,2,7,0,70.40099303,0.032807018,0.061881188,0.066831683,0,0,0,0,0,0,0,0,0.871287129,3,0.473054321,0.4305926
