ORDER_or_GROUP,FAMILY,GENUS,SPECIES,Sex,stage_found,alive,concatcomments,nest_id,Ascosphaera_screened,ASCO_ID,Ascosphaera,wt_mg,Hotel_Type,Hole_Diameter,Replicate,Cell_Position,Study,Country,State,County,Town,lat,lon,last_update,number_of_specimens,id,pcr_asco,Collected_From,species_switch_in_nest,pantrap_site,Location_Code,Landscape.Type
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,K101Asco_R,A. subglobosa,25.6,wood,6,3,2,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,101,1,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,33.64,wood,6,3,1,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,102,0,Trap Nest,NA,y,WCH,A
,,,.,,pupa,no,taurus nest;Pupal case whitish; containing dead pupa covered in sporulating stalked fungus.;1;;;,1,1,K103Asco_R,A. subglobosa,NA,wood,6,3,4,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43447,1,103,1,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,29.1,wood,6,3,3,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,104,0,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,30.2,wood,6,3,5,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,105,0,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,32.8,wood,6,3,6,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,106,0,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,36,wood,6,3,7,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,107,0,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,K108Asco_R,A. subglobosa,29.95,wood,6,3,8,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,108,1,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,41.75,wood,6,3,9,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,109,0,Trap Nest,NA,y,WCH,A
Hymenoptera-Apiformes,Megachilidae,Osmia,taurus,male,adult,yes, ;1;;;,1,1,,NA,29.18,wood,6,3,10,Osmia across Virginia,USA,Va.,Greene,Stanardsville,38.293871,-78.516525,43558,1,110,0,Trap Nest,NA,y,WCH,A
,,,.,,,,na/ delete;2;;;,2,NA,,NA,NA,wood,6,1,9,Osmia across Virginia,USA,Va.,Frederick,Cross Junction,39.3204,-78.2933,43447,1,111,0,Trap Nest,NA,y,TVM,N
,,,.,,,,dead mass;2;;;,2,NA,,NA,37.4,wood,6,1,8,Osmia across Virginia,USA,Va.,Frederick,Cross Junction,39.3204,-78.2933,43447,1,112,0,Trap Nest,NA,y,TVM,N
,,,.,,,,dead? Pollen?;2;;;,2,NA,,NA,25.2,wood,6,1,7,Osmia across Virginia,USA,Va.,Frederick,Cross Junction,39.3204,-78.2933,43447,1,113,0,Trap Nest,NA,y,TVM,N
