,nest_id,SPECIES,size
0,1,.,1
1,1,taurus,9
2,2,.,3
3,2,taurus,6
4,3,.,1
5,3,taurus,8
6,4,taurus,10
7,5,taurus,10
8,6,taurus,12
9,7,.,10
10,7,taurus,20
11,8,.,1
12,8,taurus,10
13,9,.,2
14,9,cornifrons,9
15,10,.,2
16,10,lignaria,8
17,11,.,2
18,11,taurus,9
19,12,.,1
20,12,taurus,8
21,13,.,1
22,13,taurus,8
23,14,lignaria,8
24,15,cornifrons,12
25,16,.,1
26,16,georgica,7
27,17,.,2
28,17,taurus,8
29,18,.,1
30,18,cornifrons,4
31,19,taurus,8
32,20,taurus,12
33,21,taurus,10
34,22,.,4
35,22,taurus,10
36,23,lignaria,8
37,24,cornifrons,5
38,24,lignaria,1
39,25,.,4
40,25,taurus,6
41,26,.,6
42,26,cornifrons,13
43,27,lignaria,9
44,28,.,7
45,29,.,1
46,29,taurus,11
47,30,cornifrons,6
48,31,lignaria,9
49,32,taurus,11
50,33,.,1
51,33,lignaria,2
52,33,taurus,2
53,34,cornifrons,10
54,35,cornifrons,4
55,35,lignaria,8
56,36,.,10
57,36,georgica,10
58,37,.,1
59,37,lignaria,5
60,38,.,5
61,38,cornifrons,9
62,39,.,1
63,39,taurus,9
64,40,.,1
65,40,cornifrons,5
66,41,taurus,6
67,42,.,5
68,42,taurus,7
69,43,taurus,7
70,44,.,3
71,44,cornifrons,8
72,45,lignaria,13
73,46,lignaria,10
74,47,taurus,12
75,48,taurus,15
76,60,.,2
77,60,taurus,6
78,61,.,1
79,61,cornifrons,6
80,62,.,2
81,62,cornifrons,3
82,63,.,4
83,63,cornifrons,7
84,64,.,3
85,65,.,1
86,65,taurus,3
87,66,.,2
88,66,lignaria,11
89,67,taurus,15
90,68,.,8
91,69,.,3
92,69,taurus,10
93,70,.,1
94,70,taurus,13
95,71,.,1
96,71,lignaria,8
97,72,taurus,13
98,73,.,2
99,73,lignaria,8
100,74,georgica,19
101,75,cornifrons,5
102,76,lignaria,8
103,76,taurus,3
104,77,.,1
105,77,taurus,8
106,78,.,5
107,79,.,3
108,79,lignaria,3
109,80,.,3
110,80,georgica,14
111,81,taurus,10
112,82,georgica,22
113,83,.,3
114,83,taurus,9
115,84,taurus,13
116,85,cornifrons,13
117,86,.,9
118,87,.,1
119,87,cornifrons,7
120,87,lignaria,2
121,88,.,3
122,88,cornifrons,3
123,89,.,2
124,89,taurus,11
125,90,.,3
126,91,.,3
127,92,.,1
128,92,taurus,11
129,93,.,6
130,94,.,12
131,94,taurus,1
132,95,taurus,12
133,96,cornifrons,3
134,96,lignaria,1
135,97,lignaria,11
136,98,.,1
137,98,taurus,7
138,99,.,4
139,101,cornifrons,11
140,102,taurus,10
141,103,.,4
142,103,taurus,8
143,104,.,6
144,104,taurus,1
145,105,.,5
146,105,cornifrons,1
147,105,taurus,4
148,106,.,9
149,106,cornifrons,1
150,107,.,4
151,109,taurus,11
152,110,.,1
153,110,cornifrons,12
154,110,taurus,5
155,111,.,12
156,111,taurus,1
157,112,cornifrons,11
158,113,.,11
159,114,.,2
160,114,taurus,5
161,115,.,13
162,115,taurus,1
163,116,.,8
164,116,taurus,4
165,117,.,9
166,118,.,6
167,118,taurus,4
168,119,.,1
169,119,taurus,6
170,120,.,3
171,120,cornifrons,9
172,121,taurus,9
173,122,.,2
174,122,taurus,7
175,123,.,1
176,123,taurus,7
177,124,cornifrons,7
178,126,.,11
179,127,.,3
180,127,taurus,5
181,128,.,5
182,128,taurus,7
183,130,.,7
184,131,.,2
185,131,taurus,6
186,133,.,1
187,133,cornifrons,12
188,134,lignaria,2
189,137,cornifrons,6
190,138,.,1
191,138,cornifrons,6
192,140,taurus,9
193,141,georgica,19
194,142,taurus,8
195,143,lignaria,8
196,144,.,1
197,144,taurus,12
198,145,.,6
199,146,.,1
200,146,georgica,19
201,149,.,3
202,149,taurus,8
203,150,taurus,13
204,151,taurus,9
205,153,.,7
206,153,taurus,2
207,154,cornifrons,10
208,155,georgica,15
209,156,.,1
210,156,taurus,6
211,157,lignaria,8
212,160,taurus,8
213,161,.,1
214,161,taurus,10
215,162,.,1
216,162,cornifrons,10
217,162,lignaria,1
218,163,cornifrons,11
219,164,.,9
220,164,cornifrons,6
221,165,taurus,4
222,166,.,5
223,166,cornifrons,5
224,167,.,7
225,167,taurus,2
226,168,.,7
227,168,taurus,3
228,169,.,10
229,170,.,5
230,171,.,4
231,171,cornifrons,11
232,172,.,7
233,173,taurus,2
234,174,.,1
235,174,georgica,2
236,175,.,5
237,176,.,1
238,176,cornifrons,2
239,177,.,10
240,178,.,5
241,178,taurus,7
242,179,.,1
243,179,taurus,3
244,180,subfasciata,6
245,181,.,1
246,181,taurus,7
247,182,taurus,11
248,183,.,13
249,183,cornifrons,5
250,184,cornifrons,2
251,184,taurus,7
252,185,cornifrons,8
253,186,cornifrons,9
254,187,.,6
255,187,taurus,7
256,188,.,1
257,188,cornifrons,3
258,189,.,10
259,190,.,11
260,190,taurus,3
261,191,.,5
262,191,taurus,7
263,192,.,2
264,192,unknown,1
265,193,.,1
266,193,cornifrons,4
267,194,.,7
268,194,taurus,2
269,195,.,8
270,196,.,9
271,197,taurus,6
272,198,.,1
273,198,taurus,3
274,199,taurus,11
275,200,.,3
276,201,.,9
277,202,.,9
278,202,taurus,1
279,203,.,9
280,204,.,1
281,204,taurus,2
282,205,cornifrons,8
283,206,.,10
284,207,.,1
285,207,cornifrons,5
286,208,lignaria,3
287,209,.,5
288,209,lignaria,2
289,209,taurus,4
290,210,.,1
291,210,taurus,9
292,211,.,2
293,211,cornifrons,10
294,212,.,14
295,213,.,7
296,214,.,11
297,215,.,11
298,216,.,11
299,216,taurus,1
300,217,.,12
301,217,taurus,1
302,218,.,7
303,219,.,5
304,219,taurus,2
305,220,.,2
306,220,taurus,4
