value,class_name,nesting_ground_availability_index,nesting_cavity_availability_index,nesting_stem_availability_index,nesting_wood_availability_index,floral_resources_spring_index,floral_resources_summer_index,floral_resources_fall_index
0,Background,0,0,0,0,0,0,0
1,Corn,0.14518538,0.08947642,0.10694374,0.10261136,0.09025383,0.27470743,0.13230948
2,Cotton,0.33558978,0.22867787,0.23352933,0.27744418,0.39644857,0.31604149,0.16558153
3,Rice,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
4,Sorghum,0.14518538,0.08947642,0.10694374,0.10261136,0.09025383,0.27470743,0.13230948
5,Soybeans,0.19932859,0.11568643,0.12631741,0.14706059,0.24359554,0.39715084,0.18586747
6,Sunflower,0.22765865,0.08834419,0.10723314,0.04915673,0.43725303,0.67993871,0.41816177
10,Peanuts,0.19932859,0.11568643,0.12631741,0.14706059,0.24359554,0.39715084,0.18586747
11,Tobacco,0.22047301,0.25959698,0.22336916,0.27781733,0.29991308,0.27717757,0.23806936
12,Sweet Corn,0.14518538,0.08947642,0.10694374,0.10261136,0.09025383,0.27470743,0.13230948
13,Pop or Orn Corn,0.14518538,0.08947642,0.10694374,0.10261136,0.09025383,0.27470743,0.13230948
14,Mint,0.25995377,0.10017556,0.07840149,0.04908356,0.30184416,0.55980437,0.32681347
21,Barley,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
22,Durum Wheat,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
23,Spring Wheat,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
24,Winter Wheat,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
25,Other Small Grains,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
26,Dbl Crop WinWht/Soybeans,0.3049271,0.27442256,0.26831262,0.30460441,0.28188803,0.27020218,0.26437209
27,Rye,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
28,Oats,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
29,Millet,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
30,Speltz,0.15130674,0.13945144,0.10899757,0.10245277,0.11008896,0.28218173,0.13347815
31,Canola,0.21557879,0.13093173,0.13712859,0.14526145,0.49646555,0.55002486,0.22757243
32,Flaxseed,0.21557879,0.13093173,0.13712859,0.14526145,0.49646555,0.55002486,0.22757243
33,Safflower,0.22765865,0.08834419,0.10723314,0.04915673,0.43725303,0.67993871,0.41816177
34,Rape Seed,0.21557879,0.13093173,0.13712859,0.14526145,0.49646555,0.55002486,0.22757243
35,Mustard,0.21557879,0.13093173,0.13712859,0.14526145,0.49646555,0.55002486,0.22757243
36,Alfalfa,0.22153199,0.12852272,0.12916903,0.1480875,0.24408176,0.52342519,0.22686515
37,Other Hay/Non Alfalfa,0.20361605,0.12984552,0.10363701,0.09537101,0.24057446,0.42219481,0.32726926
38,Camelina,0.21557879,0.13093173,0.13712859,0.14526145,0.49646555,0.55002486,0.22757243
39,Buckwheat,0.23634678,0.13136509,0.12346043,0.14561196,0.27642827,0.55282229,0.32343415
