obs_year,weather_yr,in_turley,osmia_6spp,cornifrons,farms,turley_pub,pred_1145_239,pred_1146_239,pred_1146_240,eggs,emerg_doy,forage,eggs_day,M_egglarva,W_winter,noegg_T,noegg_P,pred_mean,rank_pred,rank_obs,gap
2012,2011,,4,0,3,,21.42,11.57,10.68,12,122,0.416,1,0.0,0.11,3,5,14.56,2,13,11
2013,2012,,5,1,3,,13.54,6.75,6.3,8,107,0.403,1,0.125,0.1,11,3,8.86,9,12,3
2014,2013,yes,9,0,6,10.0,18.41,7.83,8.46,11,127,0.406,1,0.145,0.1,6,3,11.57,6,11,5
2015,2014,yes,48,26,7,58.0,19.8,10.77,11.67,13,130,0.409,1,0.0,0.103,4,3,14.08,4,3,-1
2016,2015,yes,53,16,8,47.0,19.88,11.54,11.54,14,126,0.406,1,0.071,0.113,4,2,14.32,3,2,-1
2017,2016,yes,29,10,7,26.0,4.97,1.6,1.6,2,118,0.412,1,0.1,0.113,16,6,2.72,13,5,-8
2018,2017,yes,18,4,7,27.0,3.61,2.43,2.97,7,110,0.412,1,0.529,0.1,10,5,3.0,12,8,-4
2019,2018,yes,13,5,4,15.0,19.58,8.85,8.85,10,128,0.406,1,0.0,0.115,0,10,12.43,5,10,5
2020,2019,,17,11,4,,16.82,8.14,7.88,11,119,0.406,1,0.191,0.115,4,7,10.95,7,9,2
2021,2020,,21,11,6,,25.2,11.7,9.9,11,127,0.394,1,0.0,0.1,8,2,15.6,1,6,5
2022,2021,,39,34,6,,6.23,5.86,5.04,7,119,0.406,1,0.186,0.115,11,3,5.71,11,4,-7
2023,2022,,20,3,6,,9.67,9.49,10.38,12,121,0.406,1,0.033,0.105,4,6,9.85,8,7,-1
2024,2023,,89,31,6,,8.95,4.45,4.45,5,112,0.4,1,0.0,0.11,15,3,5.95,10,1,-9
