col,row,year,observed,predicted,eggs,emergence_doy,forage_quality,egg_larva_mortality,winter_mortality,cell
1146,240,2012,1,10.68,12,122,0.415625,0.0,0.11,1146_240
1146,240,2013,3,6.3,8,107,0.403125,0.125,0.1,1146_240
1146,240,2014,7,8.459999999999999,11,127,0.40625,0.14545454545454548,0.1,1146_240
1146,240,2015,16,11.6675,13,130,0.409375,0.0,0.10250000000000001,1146_240
1146,240,2016,12,11.5375,14,126,0.40625,0.07142857142857142,0.1125,1146_240
1146,240,2017,7,1.5975,2,118,0.4125,0.1,0.1125,1146_240
1146,240,2018,11,2.9699999999999998,7,110,0.4125,0.5285714285714286,0.1,1146_240
1146,240,2019,2,8.85,10,128,0.40625,0.0,0.115,1146_240
1146,240,2020,10,7.8765,11,119,0.40625,0.19090909090909094,0.115,1146_240
1146,240,2021,7,9.9,11,127,0.39375,0.0,0.1,1146_240
1146,240,2022,7,5.0445,7,119,0.40625,0.18571428571428575,0.115,1146_240
1146,240,2023,7,10.382,12,121,0.40625,0.03333333333333333,0.105,1146_240
1146,240,2024,56,4.45,5,112,0.4,0.0,0.11,1146_240
