offspring_year,mean,std,min,max
2009,11.415,8.416,0.0,33.21
2010,14.271,4.503,4.533,25.83
2011,13.607,7.451,2.383,31.705
2012,18.914,6.21,4.272,30.94
2013,15.011,6.904,1.452,30.0
2014,15.192,4.979,4.404,28.721
2015,19.657,5.64,6.422,33.12
2016,15.373,4.718,2.954,33.535
2017,12.458,7.913,0.0,30.6
2018,7.718,4.218,0.364,26.298
2019,20.83,6.21,7.18,32.67
2020,13.686,4.432,3.706,27.225
2021,19.671,6.275,0.538,34.39
2022,13.975,6.408,2.588,27.075
2023,19.338,5.798,3.748,34.2
2024,15.991,7.118,1.157,29.684
